|   RF cutoff |   GPR cutoff |   Points in-domain |   Points out-domain |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain RMSE test score |   Out-Domain RMSE test score |
|         0.9 |          0.5 |               5065 |                 647 |                     0.00331 |                      0.08734 |                     0.00032 |                      0.00448 |                     0.00008 |                      0.00120 |                     0.00002 |                      0.00034 |                     0.00000 |                      0.00007 |
|         0.9 |          0.6 |               5325 |                 387 |                     0.00310 |                      0.07607 |                     0.00030 |                      0.00401 |                     0.00008 |                      0.00112 |                     0.00002 |                      0.00033 |                     0.00000 |                      0.00008 |
|         0.9 |          0.7 |               5470 |                 242 |                     0.00298 |                      0.05830 |                     0.00029 |                      0.00286 |                     0.00007 |                      0.00091 |                     0.00002 |                      0.00029 |                     0.00000 |                      0.00009 |
|         0.9 |          0.8 |               5499 |                 213 |                     0.00300 |                      0.04543 |                     0.00028 |                      0.00248 |                     0.00007 |                      0.00084 |                     0.00002 |                      0.00029 |                     0.00000 |                      0.00009 |
|         0.9 |          0.9 |               5544 |                 168 |                     0.00295 |                      0.03627 |                     0.00028 |                      0.00231 |                     0.00007 |                      0.00079 |                     0.00002 |                      0.00028 |                     0.00000 |                      0.00010 |
|         0.9 |          1.0 |               5559 |                 153 |                     0.00292 |                      0.03749 |                     0.00028 |                      0.00227 |                     0.00007 |                      0.00074 |                     0.00002 |                      0.00026 |                     0.00000 |                      0.00011 |
|         0.9 |          1.1 |               5570 |                 142 |                     0.00293 |                      0.03805 |                     0.00028 |                      0.00212 |                     0.00007 |                      0.00074 |                     0.00002 |                      0.00027 |                     0.00000 |                      0.00011 |
|         1.0 |          0.5 |               5126 |                 586 |                     0.00317 |                      0.10129 |                     0.00031 |                      0.00525 |                     0.00008 |                      0.00141 |                     0.00002 |                      0.00040 |                     0.00000 |                      0.00008 |
|         1.0 |          0.6 |               5389 |                 323 |                     0.00297 |                      0.09605 |                     0.00029 |                      0.00519 |                     0.00008 |                      0.00146 |                     0.00002 |                      0.00044 |                     0.00000 |                      0.00010 |
|         1.0 |          0.7 |               5538 |                 174 |                     0.00285 |                      0.08855 |                     0.00028 |                      0.00435 |                     0.00007 |                      0.00142 |                     0.00002 |                      0.00046 |                     0.00000 |                      0.00014 |
|         1.0 |          0.8 |               5567 |                 145 |                     0.00287 |                      0.06902 |                     0.00027 |                      0.00388 |                     0.00007 |                      0.00136 |                     0.00002 |                      0.00049 |                     0.00000 |                      0.00015 |
|         1.0 |          0.9 |               5613 |                  99 |                     0.00282 |                      0.05974 |                     0.00027 |                      0.00422 |                     0.00007 |                      0.00143 |                     0.00002 |                      0.00052 |                     0.00000 |                      0.00019 |
|         1.0 |          1.0 |               5628 |                  84 |                     0.00279 |                      0.07702 |                     0.00027 |                      0.00453 |                     0.00007 |                      0.00136 |                     0.00002 |                      0.00050 |                     0.00000 |                      0.00020 |
|         1.0 |          1.1 |               5639 |                  73 |                     0.00280 |                      0.09278 |                     0.00027 |                      0.00452 |                     0.00007 |                      0.00150 |                     0.00002 |                      0.00058 |                     0.00000 |                      0.00021 |
|         1.1 |          0.5 |               5156 |                 556 |                     0.00308 |                      0.11089 |                     0.00030 |                      0.00576 |                     0.00008 |                      0.00156 |                     0.00002 |                      0.00043 |                     0.00000 |                      0.00009 |
|         1.1 |          0.6 |               5419 |                 293 |                     0.00289 |                      0.11196 |                     0.00028 |                      0.00611 |                     0.00007 |                      0.00174 |                     0.00002 |                      0.00051 |                     0.00000 |                      0.00012 |
|         1.1 |          0.7 |               5571 |                 141 |                     0.00277 |                      0.12750 |                     0.00027 |                      0.00657 |                     0.00007 |                      0.00207 |                     0.00002 |                      0.00067 |                     0.00000 |                      0.00019 |
|         1.1 |          0.8 |               5600 |                 112 |                     0.00278 |                      0.10106 |                     0.00027 |                      0.00625 |                     0.00007 |                      0.00210 |                     0.00002 |                      0.00075 |                     0.00000 |                      0.00023 |
|         1.1 |          0.9 |               5647 |                  65 |                     0.00274 |                      0.09098 |                     0.00026 |                      0.00813 |                     0.00007 |                      0.00255 |                     0.00002 |                      0.00092 |                     0.00000 |                      0.00033 |
|         1.1 |          1.0 |               5662 |                  50 |                     0.00271 |                      0.13617 |                     0.00026 |                      0.00993 |                     0.00007 |                      0.00275 |                     0.00002 |                      0.00098 |                     0.00000 |                      0.00039 |
|         1.1 |          1.1 |               5673 |                  39 |                     0.00272 |                      0.19005 |                     0.00027 |                      0.01192 |                     0.00007 |                      0.00360 |                     0.00002 |                      0.00130 |                     0.00000 |                      0.00046 |
