|   RF cutoff |   GPR cutoff |   Points in-domain |   Points out-domain |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain Normalized-RMSE test score |   Out-Domain Normalized-RMSE test score |   In-Domain Normalized-RMSE test score |   Out-Domain Normalized-RMSE test score |   In-Domain Normalized-RMSE test score |   Out-Domain Normalized-RMSE test score |   In-Domain Normalized-RMSE test score |   Out-Domain Normalized-RMSE test score |   In-Domain Normalized-RMSE test score |   Out-Domain Normalized-RMSE test score |   In-Domain Log-RMSE test score |   Out-Domain Log-RMSE test score |   In-Domain Log-RMSE test score |   Out-Domain Log-RMSE test score |   In-Domain Log-RMSE test score |   Out-Domain Log-RMSE test score |   In-Domain Log-RMSE test score |   Out-Domain Log-RMSE test score |   In-Domain Log-RMSE test score |   Out-Domain Log-RMSE test score |   In-Domain Normalized-Log-RMSE test score |   Out-Domain Normalized-Log-RMSE test score |   In-Domain Normalized-Log-RMSE test score |   Out-Domain Normalized-Log-RMSE test score |   In-Domain Normalized-Log-RMSE test score |   Out-Domain Normalized-Log-RMSE test score |   In-Domain Normalized-Log-RMSE test score |   Out-Domain Normalized-Log-RMSE test score |   In-Domain Normalized-Log-RMSE test score |   Out-Domain Normalized-Log-RMSE test score |
|         0.6 |          0.7 |               4856 |                 856 |                     0.00382 |                      0.03672 |                     0.00034 |                      0.00163 |                     0.00009 |                      0.00045 |                     0.00002 |                      0.00013 |                     0.00000 |                      0.00003 |                              303.63999 |                               472.49003 |                               95.20510 |                                99.18424 |                               45.39079 |                                43.42560 |                               22.95582 |                                24.36408 |                                9.34009 |                                11.97978 |                         5.56656 |                          3.30447 |                         7.98231 |                          6.42034 |                         9.34147 |                          7.70210 |                        10.70073 |                          8.93590 |                        12.48307 |                         10.50330 |                                    5.71584 |                                     6.15802 |                                    4.55603 |                                     4.59698 |                                    3.81531 |                                     3.77105 |                                    3.13357 |                                     3.19311 |                                    2.23432 |                                     2.48322 |
|         0.6 |          0.8 |               4885 |                 827 |                     0.00384 |                      0.03272 |                     0.00034 |                      0.00146 |                     0.00009 |                      0.00041 |                     0.00002 |                      0.00012 |                     0.00000 |                      0.00003 |                              297.72843 |                               372.81106 |                               95.44253 |                                84.48204 |                               45.46179 |                                37.76991 |                               22.97591 |                                21.59882 |                                9.30493 |                                11.13675 |                         5.56168 |                          3.41986 |                         7.98688 |                          6.52615 |                         9.34784 |                          7.80312 |                        10.70787 |                          9.00603 |                        12.49004 |                         10.53561 |                                    5.69618 |                                     5.92107 |                                    4.55852 |                                     4.43654 |                                    3.81687 |                                     3.63151 |                                    3.13445 |                                     3.07264 |                                    2.23054 |                                     2.41025 |
|         0.6 |          0.9 |               4921 |                 791 |                     0.00383 |                      0.02960 |                     0.00034 |                      0.00137 |                     0.00009 |                      0.00038 |                     0.00002 |                      0.00012 |                     0.00000 |                      0.00003 |                              304.94035 |                               344.91402 |                               97.15187 |                                77.64317 |                               45.52013 |                                34.60884 |                               22.93066 |                                19.55890 |                                9.24265 |                                10.32990 |                         5.56385 |                          3.52013 |                         7.99862 |                          6.59290 |                         9.36026 |                          7.86903 |                        10.72024 |                          9.06555 |                        12.50259 |                         10.57296 |                                    5.72012 |                                     5.84330 |                                    4.57628 |                                     4.35212 |                                    3.81815 |                                     3.54411 |                                    3.13248 |                                     2.97343 |                                    2.22383 |                                     2.33504 |
|         0.6 |          1.0 |               4936 |                 776 |                     0.00379 |                      0.02928 |                     0.00033 |                      0.00133 |                     0.00009 |                      0.00037 |                     0.00002 |                      0.00011 |                     0.00000 |                      0.00003 |                              316.23111 |                               325.84388 |                               96.80709 |                                71.93227 |                               45.29904 |                                32.39533 |                               22.87301 |                                18.66497 |                                9.25997 |                                 9.99852 |                         5.57657 |                          3.53069 |                         8.00397 |                          6.62341 |                         9.36580 |                          7.90916 |                        10.72463 |                          9.08765 |                        12.50677 |                         10.58777 |                                    5.75647 |                                     5.78642 |                                    4.57272 |                                     4.27573 |                                    3.81329 |                                     3.47801 |                                    3.12996 |                                     2.92665 |                                    2.22570 |                                     2.30244 |
|         0.6 |          1.1 |               4946 |                 766 |                     0.00380 |                      0.02807 |                     0.00034 |                      0.00126 |                     0.00009 |                      0.00035 |                     0.00002 |                      0.00011 |                     0.00000 |                      0.00002 |                              313.13855 |                               314.85992 |                               96.63674 |                                68.14038 |                               45.51363 |                                30.76424 |                               23.03347 |                                17.85288 |                                9.30922 |                                 9.41130 |                         5.57376 |                          3.57321 |                         8.00097 |                          6.67649 |                         9.36255 |                          7.94741 |                        10.72079 |                          9.12311 |                        12.50350 |                         10.63300 |                                    5.74665 |                                     5.75213 |                                    4.57096 |                                     4.22157 |                                    3.81801 |                                     3.42635 |                                    3.13695 |                                     2.88216 |                                    2.23101 |                                     2.24191 |
|         0.7 |          0.5 |               4808 |                 904 |                     0.00402 |                      0.05795 |                     0.00035 |                      0.00292 |                     0.00009 |                      0.00082 |                     0.00002 |                      0.00022 |                     0.00000 |                      0.00005 |                              328.09654 |                               759.01025 |                               98.36876 |                               182.74357 |                               45.96994 |                                81.91519 |                               23.15157 |                                43.13732 |                                9.46317 |                                21.31915 |                         5.51652 |                          2.84826 |                         7.95854 |                          5.83785 |                         9.32145 |                          7.10533 |                        10.68242 |                          8.40045 |                        12.46604 |                          9.97659 |                                    5.79331 |                                     6.63202 |                                    4.58872 |                                     5.20808 |                                    3.82799 |                                     4.40568 |                                    3.14206 |                                     3.76439 |                                    2.24741 |                                     3.05961 |
|         0.7 |          0.6 |               5047 |                 665 |                     0.00369 |                      0.04872 |                     0.00033 |                      0.00238 |                     0.00008 |                      0.00070 |                     0.00002 |                      0.00020 |                     0.00000 |                      0.00004 |                              311.84021 |                               508.92804 |                               96.56663 |                               105.04780 |                               45.21039 |                                50.15590 |                               22.88567 |                                27.49160 |                                9.32518 |                                14.54108 |                         5.60192 |                          3.02169 |                         8.02782 |                          6.04217 |                         9.38734 |                          7.26612 |                        10.74917 |                          8.50225 |                        12.53015 |                         10.04877 |                                    5.74249 |                                     6.23231 |                                    4.57023 |                                     4.65442 |                                    3.81133 |                                     3.91514 |                                    3.13051 |                                     3.31388 |                                    2.23272 |                                     2.67698 |
|         0.7 |          0.7 |               5178 |                 534 |                     0.00358 |                      0.03879 |                     0.00032 |                      0.00172 |                     0.00008 |                      0.00054 |                     0.00002 |                      0.00017 |                     0.00000 |                      0.00004 |                              344.08865 |                               313.99833 |                               93.33622 |                                56.78572 |                               44.13225 |                                30.84944 |                               22.73602 |                                19.05820 |                                9.28639 |                                11.67705 |                         5.63175 |                          3.24961 |                         8.05896 |                          6.36475 |                         9.41937 |                          7.52581 |                        10.78117 |                          8.67457 |                        12.56032 |                         10.07103 |                                    5.84090 |                                     5.74939 |                                    4.53621 |                                     4.03928 |                                    3.78719 |                                     3.42912 |                                    3.12395 |                                     2.94750 |                                    2.22855 |                                     2.45763 |
|         0.7 |          0.8 |               5207 |                 505 |                     0.00360 |                      0.03306 |                     0.00032 |                      0.00152 |                     0.00008 |                      0.00048 |                     0.00002 |                      0.00016 |                     0.00000 |                      0.00004 |                              346.58265 |                               268.77927 |                               93.50847 |                                47.83827 |                               44.29599 |                                25.88608 |                               22.72995 |                                16.95925 |                                9.28385 |                                10.79908 |                         5.62637 |                          3.40954 |                         8.06261 |                          6.48977 |                         9.42484 |                          7.64551 |                        10.78762 |                          8.75161 |                        12.56703 |                         10.09294 |                                    5.84812 |                                     5.59389 |                                    4.53805 |                                     3.86783 |                                    3.79089 |                                     3.25371 |                                    3.12368 |                                     2.83081 |                                    2.22828 |                                     2.37946 |
|         0.7 |          0.9 |               5249 |                 463 |                     0.00356 |                      0.02899 |                     0.00031 |                      0.00141 |                     0.00008 |                      0.00044 |                     0.00002 |                      0.00015 |                     0.00000 |                      0.00004 |                              321.74883 |                               197.15221 |                               91.94488 |                                39.13689 |                               43.44615 |                                21.23824 |                               22.26050 |                                14.39043 |                                9.15479 |                                 9.48822 |                         5.63682 |                          3.54070 |                         8.07880 |                          6.56366 |                         9.44166 |                          7.72617 |                        10.80435 |                          8.81970 |                        12.58381 |                         10.13469 |                                    5.77377 |                                     5.28398 |                                    4.52119 |                                     3.66707 |                                    3.77152 |                                     3.05580 |                                    3.10281 |                                     2.66656 |                                    2.21428 |                                     2.25005 |
