|   RF cutoff |   GPR cutoff |   Points in-domain |   Points out-domain |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain RMSE test score |   Out-Domain RMSE test score |   In-Domain Normalized-RMSE test score |   Out-Domain Normalized-RMSE test score |   In-Domain Normalized-RMSE test score |   Out-Domain Normalized-RMSE test score |   In-Domain Normalized-RMSE test score |   Out-Domain Normalized-RMSE test score |   In-Domain Normalized-RMSE test score |   Out-Domain Normalized-RMSE test score |   In-Domain Normalized-RMSE test score |   Out-Domain Normalized-RMSE test score |   In-Domain Log-RMSE test score |   Out-Domain Log-RMSE test score |   In-Domain Log-RMSE test score |   Out-Domain Log-RMSE test score |   In-Domain Log-RMSE test score |   Out-Domain Log-RMSE test score |   In-Domain Log-RMSE test score |   Out-Domain Log-RMSE test score |   In-Domain Log-RMSE test score |   Out-Domain Log-RMSE test score |   In-Domain Normalized-Log-RMSE test score |   Out-Domain Normalized-Log-RMSE test score |   In-Domain Normalized-Log-RMSE test score |   Out-Domain Normalized-Log-RMSE test score |   In-Domain Normalized-Log-RMSE test score |   Out-Domain Normalized-Log-RMSE test score |   In-Domain Normalized-Log-RMSE test score |   Out-Domain Normalized-Log-RMSE test score |   In-Domain Normalized-Log-RMSE test score |   Out-Domain Normalized-Log-RMSE test score |
|         0.6 |          0.6 |               4748 |                 964 |                     0.00386 |                      0.04170 |                     0.00035 |                      0.00191 |                     0.00009 |                      0.00052 |                     0.00002 |                      0.00015 |                     0.00000 |                      0.00003 |                              312.80900 |                               577.70879 |                               97.68929 |                               121.57782 |                               46.62424 |                                54.64063 |                               23.07445 |                                31.17517 |                                9.73318 |                                15.24895 |                         5.55654 |                          3.17728 |                         7.96355 |                          6.26103 |                         9.30496 |                          7.56135 |                        10.67391 |                          8.79735 |                        12.42821 |                         10.37227 |                                    5.74559 |                                     6.35907 |                                    4.58179 |                                     4.80055 |                                    3.84212 |                                     4.00078 |                                    3.13873 |                                     3.43962 |                                    2.27554 |                                     2.72451 |
|         0.6 |          0.7 |               4860 |                 852 |                     0.00376 |                      0.03727 |                     0.00034 |                      0.00162 |                     0.00009 |                      0.00046 |                     0.00002 |                      0.00014 |                     0.00000 |                      0.00003 |                              299.40131 |                               468.21086 |                               95.12665 |                                97.23846 |                               46.11826 |                                43.72218 |                               23.05979 |                                25.09450 |                                9.62803 |                                12.91280 |                         5.58372 |                          3.28964 |                         7.98657 |                          6.42724 |                         9.32769 |                          7.68611 |                        10.69632 |                          8.89906 |                        12.45360 |                         10.42472 |                                    5.70178 |                                     6.14892 |                                    4.55521 |                                     4.57717 |                                    3.83121 |                                     3.77786 |                                    3.13809 |                                     3.22265 |                                    2.26468 |                                     2.55822 |
|         0.6 |          0.8 |               4889 |                 823 |                     0.00378 |                      0.03317 |                     0.00034 |                      0.00145 |                     0.00009 |                      0.00042 |                     0.00002 |                      0.00013 |                     0.00000 |                      0.00003 |                              295.12173 |                               371.88955 |                               95.28477 |                                82.92284 |                               45.99284 |                                38.57698 |                               23.04922 |                                21.92094 |                                9.56221 |                                11.76124 |                         5.57752 |                          3.40613 |                         7.99641 |                          6.53313 |                         9.33738 |                          7.76836 |                        10.70618 |                          8.98392 |                        12.46348 |                         10.47514 |                                    5.68739 |                                     5.91860 |                                    4.55687 |                                     4.41791 |                                    3.82849 |                                     3.65266 |                                    3.13763 |                                     3.08744 |                                    2.25782 |                                     2.46481 |
|         0.6 |          0.9 |               4924 |                 788 |                     0.00375 |                      0.03070 |                     0.00033 |                      0.00140 |                     0.00009 |                      0.00042 |                     0.00002 |                      0.00012 |                     0.00000 |                      0.00003 |                              304.10768 |                               366.14854 |                               96.47547 |                                79.40122 |                               46.05352 |                                38.21746 |                               22.95700 |                                21.06749 |                                9.50269 |                                11.33489 |                         5.58670 |                          3.48345 |                         8.01031 |                          6.57342 |                         9.35051 |                          7.77168 |                        10.71941 |                          8.99109 |                        12.47641 |                         10.47861 |                                    5.71738 |                                     5.90304 |                                    4.56929 |                                     4.37451 |                                    3.82980 |                                     3.64329 |                                    3.13362 |                                     3.04773 |                                    2.25158 |                                     2.42789 |
|         0.6 |          1.0 |               4937 |                 775 |                     0.00370 |                      0.03089 |                     0.00033 |                      0.00141 |                     0.00009 |                      0.00042 |                     0.00002 |                      0.00013 |                     0.00000 |                      0.00003 |                              306.61684 |                               342.98595 |                               95.51951 |                                76.41062 |                               45.65473 |                                37.43045 |                               22.82154 |                                20.72116 |                                9.48309 |                                11.04426 |                         5.60051 |                          3.47730 |                         8.01642 |                          6.56370 |                         9.35637 |                          7.76525 |                        10.72575 |                          8.98192 |                        12.48270 |                         10.48607 |                                    5.72560 |                                     5.83769 |                                    4.55933 |                                     4.33612 |                                    3.82111 |                                     3.62248 |                                    3.12770 |                                     3.03116 |                                    2.24951 |                                     2.40191 |
|         0.6 |          1.1 |               4946 |                 766 |                     0.00370 |                      0.02985 |                     0.00033 |                      0.00135 |                     0.00009 |                      0.00040 |                     0.00002 |                      0.00012 |                     0.00000 |                      0.00003 |                              305.49978 |                               334.92635 |                               95.41941 |                                72.80364 |                               45.93000 |                                35.19978 |                               23.00685 |                                19.55979 |                                9.53812 |                                10.70157 |                         5.59846 |                          3.51143 |                         8.01365 |                          6.61029 |                         9.35344 |                          7.81273 |                        10.72195 |                          9.03180 |                        12.47921 |                         10.50452 |                                    5.72195 |                                     5.81391 |                                    4.55828 |                                     4.28777 |                                    3.82712 |                                     3.56104 |                                    3.13579 |                                     2.97348 |                                    2.25530 |                                     2.37039 |
|         0.6 |        inf   |               4958 |                 754 |                     0.00371 |                      0.02825 |                     0.00033 |                      0.00127 |                     0.00009 |                      0.00038 |                     0.00002 |                      0.00011 |                     0.00000 |                      0.00003 |                              311.25037 |                               309.53830 |                               96.48544 |                                66.84507 |                               46.30350 |                                31.98008 |                               23.15030 |                                18.04000 |                                9.64223 |                                10.18856 |                         5.59595 |                          3.56679 |                         8.00696 |                          6.66884 |                         9.34742 |                          7.87677 |                        10.71619 |                          9.08642 |                        12.47382 |                         10.53579 |                                    5.74060 |                                     5.73508 |                                    4.56939 |                                     4.20238 |                                    3.83522 |                                     3.46511 |                                    3.14201 |                                     2.89259 |                                    2.26615 |                                     2.32127 |
|         0.7 |          0.5 |               4795 |                 917 |                     0.00397 |                      0.05962 |                     0.00035 |                      0.00305 |                     0.00009 |                      0.00081 |                     0.00002 |                      0.00023 |                     0.00000 |                      0.00005 |                              323.04731 |                               777.17319 |                               96.94187 |                               190.65005 |                               46.69487 |                                80.55826 |                               23.11219 |                                44.42308 |                                9.71800 |                                21.33413 |                         5.52857 |                          2.81971 |                         7.96779 |                          5.79302 |                         9.30741 |                          7.12326 |                        10.68109 |                          8.38653 |                        12.43893 |                          9.98589 |                                    5.77780 |                                     6.65566 |                                    4.57411 |                                     5.25044 |                                    3.84363 |                                     4.38898 |                                    3.14036 |                                     3.79376 |                                    2.27398 |                                     3.06031 |
|         0.7 |          0.6 |               5038 |                 674 |                     0.00367 |                      0.04971 |                     0.00033 |                      0.00241 |                     0.00008 |                      0.00070 |                     0.00002 |                      0.00021 |                     0.00000 |                      0.00005 |                              312.47613 |                               525.09683 |                               96.23879 |                               110.83653 |                               45.80212 |                                50.88197 |                               22.90892 |                                28.81415 |                                9.58802 |                                15.71708 |                         5.60860 |                          3.00158 |                         8.03153 |                          6.02927 |                         9.37423 |                          7.27096 |                        10.74550 |                          8.47782 |                        12.49933 |                          9.99001 |                                    5.74453 |                                     6.26358 |                                    4.56683 |                                     4.70806 |                                    3.82433 |                                     3.92951 |                                    3.13153 |                                     3.36087 |                                    2.26051 |                                     2.75475 |
|         0.7 |          0.7 |               5170 |                 542 |                     0.00355 |                      0.04004 |                     0.00031 |                      0.00187 |                     0.00008 |                      0.00060 |                     0.00002 |                      0.00019 |                     0.00000 |                      0.00005 |                              339.08838 |                               314.19604 |                               93.31316 |                                61.53426 |                               44.76661 |                                34.29480 |                               22.79995 |                                21.08464 |                                9.50458 |                                12.66550 |                         5.64032 |                          3.21784 |                         8.06409 |                          6.28436 |                         9.40694 |                          7.42562 |                        10.77828 |                          8.57378 |                        12.53436 |                          9.99543 |                                    5.82626 |                                     5.75002 |                                    4.53596 |                                     4.11959 |                                    3.80146 |                                     3.53499 |                                    3.12676 |                                     3.04854 |                                    2.25177 |                                     2.53888 |
