|   RF cutoff |   GPR cutoff |   Points in-domain |   Points out-domain |   In-Domain MetricOne test score |   Out-Domain MetricOne test score |   In-Domain MetricTwo test score |   Out-Domain MetricTwo test score |
|         1.1 |          1.1 |               5668 |                  44 |                          0.45155 |                         -10.00000 |                          0.68102 |                         -10.00000 |
|         1.1 |        inf   |               5681 |                  31 |                          0.45051 |                         -10.00000 |                          0.67946 |                         -10.00000 |
|       inf   |          0.5 |               5171 |                 541 |                          0.40551 |                           0.91266 |                          0.54148 |                           1.95933 |
|       inf   |          0.6 |               5445 |                 267 |                          0.43618 |                           0.80758 |                          0.63545 |                         -10.00000 |
|       inf   |          0.7 |               5597 |                 115 |                          0.45058 |                           0.59783 |                          0.67894 |                         -10.00000 |
|       inf   |          0.8 |               5626 |                  86 |                          0.44936 |                           0.72674 |                          0.67544 |                         -10.00000 |
|       inf   |          0.9 |               5673 |                  39 |                          0.45225 |                         -10.00000 |                          0.68042 |                         -10.00000 |
|       inf   |          1.0 |               5688 |                  24 |                          0.45545 |                         -10.00000 |                          0.67862 |                         -10.00000 |
|       inf   |          1.1 |               5699 |                  13 |                          0.45458 |                         -10.00000 |                          0.67731 |                         -10.00000 |
|       inf   |        inf   |               5712 |                   0 |                          0.45354 |                         -10.00000 |                          0.67577 |                         -10.00000 |
