Site2_MeltingT,Site1_NdValence,Site2_GSestFCClatcnt,AtomicRadii_min_value,ElectricalConductivity_min_value,Site2_BCCenergy_pa,NdUnfilled_composition_average,Row_max_value,SecondIonizationEnergy_max_value,NdValence_difference,Site2_Column,Site2_NdUnfilled,Site2_GSenergy_pa,valence_composition_average,Site2_CovalentRadii,ThermalExpansionCoefficient_min_value,HeatFusion_composition_average,Site2_HeatFusion,NdUnfilled_max_value,n_ws^third_max_value,HeatFusion_min_value,IonicRadii_min_value,Site2_SpaceGroupNumber,Site2_NdValence,Material compositions 1,Material compositions 2,E_regression,E_regression_shift
3023.738821333939,17.63795603456785,5.091089457292125,1.6634411482413956,82.80651805326029,3.9632486368874287,3.9737818640241267,6.74282212613763,30.547022581940194,5.347657027343075,18.957828505158346,6.408261513598068,3.979884977145699,4.358211504856529,1.6314204109857158,30.56258874849201,30.61733088651119,38.43488506720088,5.863789883856789,1.7516263619995551,26.6094075230296,1.3962354507444565,318.4324720327785,17.377171852347395,Ag,Ag,1.8245,0
3556.808821333939,17.63795603456785,4.511432846292125,1.4724411482413955,37.80651805326029,-0.29685876311257164,5.473781864024127,6.74282212613763,30.547022581940194,8.347657027343075,16.957828505158346,9.408261513598067,-0.33511060785430047,4.858211504856529,1.4514204109857156,24.662588748492013,33.067330886511186,43.33488506720088,8.86378988385679,2.141626361999555,26.6094075230296,0.8962354507444568,287.4324720327785,14.377171852347393,Ag,Co,1.734358324,-0.090141676
3968.808821333939,17.63795603456785,4.6143350472921245,1.4684411482413957,27.80651805326029,-2.821579773112571,6.473781864024127,6.74282212613763,30.547022581940194,10.347657027343075,13.957828505158346,11.408261513598067,-2.7604380028543005,6.358211504856529,1.4714204109857156,16.56258874849201,35.46733088651119,48.134885067200884,10.86378988385679,2.121626361999555,26.6094075230296,0.8662354507444567,322.4324720327785,12.377171852347393,Ag,Cr,2.083638544,0.259138544
3146.5788213339392,17.63795603456785,4.601597507292125,1.4974411482413956,80.60651805326029,3.0403405268874284,3.9737818640241267,6.74282212613763,30.547022581940194,5.347657027343075,18.957828505158346,6.408261513598068,3.0646237171456994,4.358211504856529,1.4614204109857156,28.162588748492013,31.76733088651119,40.73488506720088,5.863789883856789,1.861626361999555,26.6094075230296,0.9762354507444566,318.4324720327785,17.377171852347395,Ag,Cu,1.802299595,-0.022200405
3599.808821333939,17.63795603456785,4.5650004452921245,1.4604411482413957,31.106518053260288,-1.6022565531125714,5.973781864024127,6.74282212613763,30.547022581940194,9.347657027343075,15.957828505158346,10.408261513598067,-1.5402058228543005,6.358211504856529,1.4614204109857156,23.462588748492013,31.87233088651119,40.94488506720088,9.86378988385679,2.161626361999555,26.6094075230296,0.7962354507444567,322.4324720327785,13.377171852347393,Ag,Fe,2.142172341,0.317672341
3307.808821333939,17.63795603456785,4.538432625292125,1.4594411482413956,20.40651805326029,-2.187182953112572,6.473781864024127,6.74282212613763,30.547022581940194,10.347657027343075,14.957828505158346,11.408261513598067,-2.2752867128543013,6.858211504856529,1.4614204109857156,30.56258874849201,31.42233088651119,40.04488506720088,10.86378988385679,2.001626361999555,26.6094075230296,0.9162354507444568,310.4324720327785,12.377171852347393,Ag,Mn,2.026685741,0.202185741
3516.808821333939,17.63795603456785,4.519825422292125,1.4654411482413956,34.50651805326029,1.2440887668874288,4.973781864024127,6.74282212613763,30.547022581940194,7.347657027343075,17.957828505158346,8.408261513598067,1.198953967145699,4.858211504856529,1.4414204109857156,25.06258874849201,33.70733088651119,44.61488506720088,7.863789883856789,2.141626361999555,26.6094075230296,0.9362354507444566,318.4324720327785,15.377171852347393,Ag,Ni,2.075071478,0.250571478
3602.808821333939,17.63795603456785,5.527517940292125,1.6634411482413956,21.40651805326029,0.5111366468874285,8.473781864024126,6.74282212613763,30.547022581940194,14.347657027343075,10.957828505158346,15.408261513598067,0.4597654471456991,4.858211504856529,1.7314204109857156,21.662588748492013,32.01733088651119,41.23488506720088,14.86378988385679,1.7516263619995551,26.6094075230296,0.9962354507444566,287.4324720327785,8.377171852347393,Ag,Sc,1.823068663,-0.001431337
3729.808821333939,17.63795603456785,5.120469072292125,1.6634411482413956,22.50651805326029,-0.9780403031125715,7.973781864024127,6.74282212613763,30.547022581940194,13.347657027343075,11.957828505158346,14.408261513598067,-1.029948582854301,5.358211504856529,1.6114204109857158,20.262588748492014,32.04233088651119,41.28488506720088,13.86378988385679,1.9116263619995548,26.6094075230296,0.8562354507444567,287.4324720327785,9.377171852347393,Ag,Ti,1.989468058,0.164968058
3971.808821333939,17.63795603456785,4.797244349292125,1.5404411482413956,23.90651805326029,-2.256032883112571,7.473781864024127,6.74282212613763,30.547022581940194,12.347657027343075,12.957828505158346,13.408261513598067,-2.1939821528543,5.858211504856529,1.5114204109857157,20.06258874849201,35.71733088651119,48.634885067200884,12.86378988385679,2.031626361999555,26.6094075230296,0.7862354507444567,322.4324720327785,10.377171852347393,Ag,V,2.072663228,0.248163228
2481.488821333939,17.63795603456785,4.8859915942921255,1.5514411482413957,36.80651805326029,5.5261363068874285,3.9737818640241267,6.74282212613763,30.547022581940194,5.347657027343075,19.957828505158346,6.408261513598068,5.505278622145699,4.358211504856529,1.5414204109857157,30.56258874849201,28.50133088651119,34.20288506720088,5.863789883856789,1.7516263619995551,22.377407523029596,0.9862354507444566,287.4324720327785,17.377171852347395,Ag,Zn,1.677523767,-0.146976233
